Employee_ID,Employee_Name,Age,Gender,Department,Job_Role,Salary,Experience_Years,Education,City
630,Arjun Malhotra,32.0,Female,IT,Accountant,65374.0,12,Diploma,Chandigarh
789,Pooja Kumar,22.0,Female,HR,Accountant,63036.0,11,12th,Gurgaon
685,Rohan Mehta,48.0,Male,Marketing,Sales Executive,43997.0,11,Master's,Chandigarh
517,Vikash Singh,31.0,Male,Finance,Software Developer,70039.0,12,Diploma,Chandigarh
530,Vivaan Jain,52.0,Female,IT,HR Executive,49613.0,0,Master's,Gurgaon
658,Raj Mehta,39.0,Male,Operations,Sales Executive,86204.0,10,Diploma,Jaipur
553,Neha Verma,43.0,Female,Operations,Marketing Executive,113407.0,5,Master's,Hyderabad
532,Kavya Yadav,52.0,Female,,Software Developer,53467.0,14,Bachelor's,Pune
322,Vivaan Singh,,Female,Marketing,Accountant,40202.0,5,Bachelor's,Delhi
71,Raj Yadav,41.0,Female,HR,Software Developer,48834.0,8,Diploma,Hyderabad
838,Isha Singh,46.0,Male,Marketing,Data Analyst,29861.0,13,12th,Hyderabad
454,Pooja Mehta,40.0,Male,Finance,Operations Executive,104503.0,12,Bachelor's,Chandigarh
997,Simran Patel,53.0,Male,Marketing,Accountant,54482.0,8,Bachelor's,Kolkata
669,Vivaan Mehta,,Male,Finance,Operations Executive,69470.0,3,Master's,Hyderabad
248,Pooja Jain,36.0,Female,Finance,Sales Executive,97362.0,11,Diploma,Mumbai
614,Kavya Jain,33.0,Female,Marketing,Data Analyst,37137.0,4,Master's,Pune
845,Vikash Malhotra,55.0,Male,Finance,Software Developer,103059.0,4,12th,Hyderabad
705,Isha Jain,42.0,female,Sales,Accountant,110951.0,14,12th,Mumbai
299,Neha Gupta,34.0,Female,Operations,Accountant,102060.0,4,Master's,Noida
102,Priya Jain,37.0,F,Operations,Data Analyst,69375.0,12,Diploma,Chandigarh
903,Ananya Gupta,40.0,Male,Finance,Operations Executive,84795.0,13,Bachelor's,Gurgaon
920,Priya Malhotra,22.0,Male,HR,HR Executive,99393.0,12,12th,Noida
